Zeitpunkt	CDU/CSU 	SPD 	GRÜNE 	FDP 	LINKE 	AfD 	Sonstige 	Befragte 	Institut
19.09.2017	36.5	22.0	8.0 	11.0	9.0 	10.0	3.5 	1083	Allensbach
22.08.2017	39.5	24.0	7.5 	10.0	8.0 	7.0 	4.0 	1421	Allensbach
18.07.2017	39.5	25.0	7.0 	9.0 	9.0 	7.0 	3.5 	1403	Allensbach
20.06.2017	40.0	24.0	7.0 	10.5	8.5 	6.5 	3.5 	1437	Allensbach
26.05.2017	37.0	26.0	8.0 	9.0 	8.0 	8.0 	4.0 	1457	Allensbach
25.04.2017	36.0	31.0	7.0 	6.0 	9.0 	7.0 	4.0 	1407	Allensbach
28.03.2017	34.0	33.0	7.5 	6.5 	8.0 	7.0 	4.0 	1397	Allensbach
22.02.2017	33.0	30.5	8.0 	7.0 	8.0 	8.5 	5.0 	1542	Allensbach
26.01.2017	36.0	23.0	9.0 	7.0 	9.5 	11.5	4.0 	1441	Allensbach
16.09.2017	36	22 	8 	9 	10 	11 	4 	1888 	Emnid
12.08.2017	38	24 	7 	8 	10 	8 	5 	1886 	Emnid
15.07.2017	38	25 	8 	7 	9 	8 	5 	1263 	Emnid
17.06.2017	39	25 	7 	7 	9 	8 	5 	2054 	Emnid
13.05.2017	37	27 	8 	6 	10 	8 	4 	1837 	Emnid
15.04.2017	35	31 	7 	6 	9 	9 	3 	2436 	Emnid
18.03.2017	33	32 	8 	5 	8 	9 	5 	1832 	Emnid
18.02.2017	32	33 	7 	6 	8 	9 	5 	1885 	Emnid
14.01.2017	37	21 	10 	6 	10 	12 	4 	1878 	Emnid
19.09.2017	36 	23 	8 	9 	10 	9 	5 	2501 	Forsa
16.08.2017	39 	23 	8 	8 	9 	8 	5 	2507 	Forsa
19.07.2017	40 	22 	8 	8 	9 	7 	6 	2502 	Forsa
13.06.2017	38 	24 	8 	9 	8 	7 	6 	2004 	Forsa
17.05.2017	38 	26 	7 	8 	8 	7 	6 	2506 	Forsa
11.04.2017	36 	30 	7 	6 	8 	8 	5 	2502 	Forsa
15.03.2017	33 	32 	7 	6 	7 	9 	6 	2505 	Forsa
15.02.2017	34 	31 	7 	5 	8 	9 	6 	2502 	Forsa
18.01.2017	38 	21 	9 	6 	9 	11 	6 	2503 	Forsa
21.09.2017	36 	21.5 	8 	10 	8.5 	11 	5 	1725 	FGWahlen
25.08.2017	39 	22 	8 	9 	9 	9 	4 	1283 	FGWahlen
21.07.2017	40 	24 	8 	8 	8 	8 	4 	1277 	FGWahlen
23.06.2017	39 	25 	8 	8 	9 	7 	4 	1261 	FGWahlen
19.05.2017	38 	27 	7 	8 	9 	7 	4 	1344 	FGWahlen
07.04.2017	35 	32 	7 	5 	8 	9 	4 	1384 	FGWahlen
10.03.2017	34 	32 	7 	5 	8 	9 	5 	1212 	FGWahlen
17.02.2017	34 	30 	9 	6 	7 	10 	4 	1231 	FGWahlen
13.01.2017	36 	21 	10 	6 	9 	13 	5 	1292 	FGWahlen
21.09.2017 	37 	22 	8 	9 	9 	10 	5 	1004 	GMS
07.09.2017 	38 	22 	9 	10 	9 	8 	4 	1012 	GMS
16.08.2017 	40 	22 	8 	9 	8 	7 	6 	1007 	GMS
06.07.2017 	39 	23 	9 	9 	8 	7 	5 	1009 	GMS
01.06.2017 	39 	23 	8 	10 	8 	8 	4 	1016 	GMS
04.05.2017 	36 	29 	7 	7 	8 	9 	4 	1004 	GMS
23.03.2017 	34 	31 	8 	6 	8 	9 	4 	1008 	GMS
09.02.2017 	33 	29 	9 	6 	8 	11 	4 	1009 	GMS
05.01.2017 	36 	20 	10 	7 	1 	13 	4 	1006 	GMS
14.09.2017 	37 	20 	7.5 	9.5 	9 	12 	5 	1503 	Infratest
09.08.2017 	39 	24 	8 	8 	9 	8 	4 	1505 	Infratest
06.07.2017 	39 	23 	8 	9 	9 	9 	3 	1500 	Infratest
15.06.2017 	39 	24 	7 	9 	8 	8 	5 	1018 	Infratest
18.05.2017 	38 	26 	8 	9 	6 	9 	4 	1017 	Infratest
20.04.2017 	35 	30 	7 	6 	8 	10 	4 	 934 	Infratest
23.03.2017 	32 	32 	8 	6 	7 	11 	4 	1023 	Infratest
23.02.2017 	31 	32 	8 	6 	7 	11 	5 	1047 	Infratest
27.01.2017 	35 	23 	9 	6 	8 	14 	5 	1029 	Infratest
22.09.2017 	34   	21   	8   	9   	11   	13   	4   	2000 	INSA
15.08.2017 	37   	25   	7   	9   	9   	10   	3   	2025 	INSA
18.07.2017 	36   	25   	6.5 	8.5 	9.5 	10   	4.5 	2026 	INSA
20.06.2017 	36.5 	25   	6.5 	9   	11  	9    	3   	2040 	INSA
16.05.2017 	36   	27   	6   	8   	9   	10   	4   	2037 	INSA
19.04.2017 	34  	30.5 	6   	6.5 	9   	10   	4   	2038 	INSA
13.03.2017 	31   	31   	6.5 	7   	8.5 	11.5 	4.5 	2051 	INSA
13.02.2017 	30   	31   	7   	5   	10  	12   	5   	2028 	INSA
17.01.2017 	33.5 	21   	8.5 	7.5 	11  	13.5 	5   	2031 	INSA
24.09.2017	33.0	20.5	9.2	8.9	10.7	12.6	5.0	60e06	Endergebnis
ARD_1800	32.5	20.0	9.5	10.5	9.0	13.5	5.0	NA	ARD
ARD_1815	32.7	20.2	9.4	10.5	8.9	13.4	4.9	NA	ARD
ZDF_1800	33.5	21.0	9.0	10.0	9.0	13.0	4.5	NA	ZDF
ZDF_1815	33.3	20.8	9.2	10.1	8.9	13.2	4.5	NA	ZDF
