Datum	CDUCSU	SPD	Gruene	FDP	Linke	AfD	Sonstige	Institut	Befragte	Zeitraum
21.04.2021	28,0	16,5	23,0	10,0	7,5	9,5	5,5	Allensbach	1.051	06.04.–15.04.
24.03.2021	28,5	18,0	21,5	8,5	8,5	10,0	5,0	Allensbach	1.006	08.03.–21.03.
25.02.2021	37,0	15,0	20,0	7,0	7,0	9,5	4,5	Allensbach	1.082	04.02.–17.02.
28.01.2021	37,0	16,0	20,0	6,5	7,5	9,0	4,0	Allensbach	1.08	10.01.–20.01.
08.05.2021	23	16	26	12	7	10	6	Emnid	1.91	29.04.–05.05.
01.05.2021	24	15	27	11	7	10	6	Emnid	1.442	22.04.–28.04.
24.04.2021	27	13	28	9	7	10	6	Emnid	1.225	15.04.–21.04
18.04.2021	29	15	22	9	8	11	6	Emnid	1.437	08.04.–14.04.
11.04.2021	27	15	22	9	9	11	7	Emnid	1.448	31.03.–07.04.
04.04.2021	26	16	23	9	9	10	7	Emnid	1.429	25.03.–31.03.
27.03.2021	25	17	23	10	9	10	6	Emnid	1.447	18.03.–24.03.
20.03.2021	27	17	22	10	8	10	6	Emnid	1.942	11.03.–17.03.
14.03.2021	31	16	19	8	8	11	7	Emnid	2.378	04.03.–10.03.
07.03.2021	32	16	19	9	9	10	5	Emnid	2.41	25.02.–03.03.
27.02.2021	34	16	18	8	9	9	6	Emnid	1.869	18.02.–24.02.
20.02.2021	34	16	19	8	8	9	6	Emnid	1.905	11.02.–17.02.
14.02.2021	35	17	18	8	7	10	5	Emnid	1.569	04.02.–10.02.
07.02.2021	36	16	19	7	7	9	6	Emnid	1.412	28.01.–03.02.
31.01.2021	36	15	19	7	8	9	6	Emnid	1.427	21.01.–27.01.
24.01.2021	35	15	20	7	8	9	6	Emnid	1.922	14.01.–20.01.
17.01.2021	36	15	18	7	8	10	6	Emnid	2.398	05.01.–13.01.
05.05.2021	23	14	28	12	6	10	7	Forsa	2.508	27.04.–03.05.
28.04.2021	22	13	28	12	7	11	7	Forsa	2.507	20.04.–26.04
20.04.2021	28	15	23	10	6	11	7	Forsa	2.003	13.04.–16.04.
14.04.2021	27	15	23	9	8	11	7	Forsa	2.5	06.04.–12.04.
07.04.2021	27	15	23	10	7	10	8	Forsa	1.501	30.03.–01.04.
31.03.2021	27	15	23	10	7	11	7	Forsa	2.503	23.03.–29.03.
24.03.2021	26	16	22	10	8	10	8	Forsa	2.511	16.03.–22.03.
17.03.2021	29	16	21	8	8	10	8	Forsa	2.501	09.03.–15.03.
10.03.2021	33	16	18	8	8	10	7	Forsa	2.51	02.03.–08.03.
02.03.2021	34	16	19	7	8	9	7	Forsa	2.501	25.02.–01.03.
23.02.2021	35	16	19	8	7	8	7	Forsa	2.505	16.02.–22.02.
16.02.2021	35	16	19	7	8	8	7	Forsa	2.502	09.02.–15.02.
09.02.2021	37	15	19	7	7	8	7	Forsa	2.501	02.02.–08.02.
02.02.2021	37	15	19	6	8	8	7	Forsa	2.503	26.01.–01.02.
